,Lst,Rto,Sce,Yli,s2,s3,s4
Lst|G1IA6-19790-MONOMER,Lipst1_1_70836,16590,YKR088C,YALI0D18942g,0.206,0.365,0.396
Lst|G1IA6-19243-MONOMER,Lipst1_1_81155,13757,YDL198C,YALI0C14498g,1.515,1.628,1.472
Lst|G1IA6-19341-MONOMER,Lipst1_1_265500,16434,YLR148W,YALI0A19008g,1.944,0.96,1.588
Lst|G1IA6-20208-MONOMER,Lipst1_1_52818,,YGR036C,YALI0D21032g,,0.288,0.625
Lst|G1IA6-17908-MONOMER,Lipst1_1_91482,,,YALI0E20515g,,,0.432
Lst|G1IA6-23761-MONOMER,Lipst1_1_6810,,YFR048W,YALI0D01914g,,0.798,0.825
Lst|G1IA6-17555-MONOMER,Lipst1_1_335350,15371,,YALI0E32879g,0.937,,0.888
Lst|G1IA6-20874-MONOMER,Lipst1_1_72220,9968,,YALI0D25146g,0.696,,0.61
Lst|G1IA6-22776-MONOMER,Lipst1_1_5796,9990,,,0.74,,
Lst|G1IA6-24327-MONOMER,Lipst1_1_7298,,YKL218C,YALI0B19360g,,0.594,0.444
Lst|G1IA6-24154-MONOMER,Lipst1_1_7117,,,YALI0D09889g,,,0.43
Lst|G1IA6-19382-MONOMER,Lipst1_1_2700,9730,YGL055W,YALI0C05951g,1.764,1.678,1.588
Lst|G1IA6-20927-MONOMER,Lipst1_1_72441,12145,YGL002W,YALI0C18073g,0.739,0.543,0.653
Lst|G1IA6-23564-MONOMER,Lipst1_1_75573,10618,YGR235C,YALI0E06853g,0.093,0.147,0.401
Lst|G1IA6-17593-MONOMER,Lipst1_1_48493,9580,YOR301W,YALI0E10329g,0.726,0.386,0.706
Lst|G1IA6-18308-MONOMER,Lipst1_1_34605,8843,YGL127C,YALI0C24167g,0.186,0.18,0.314
Lst|G1IA6-21822-MONOMER,Lipst1_1_73437,12601,YLR275W,YALI0F06644g,0.483,0.349,0.482
Lst|G1IA6-21381-MONOMER,Lipst1_1_72802,14241,YHR128W,YALI0F31273g,1.096,0.991,0.958
Lst|G1IA6-17958-MONOMER,Lipst1_1_102867,14230,YGR112W,,0.562,0.437,
Lst|G1IA6-21645-MONOMER,Lipst1_1_4922,15189,YPL086C,YALI0B12628g,1.944,1.801,1.588
Lst|G1IA6-16887-MONOMER,Lipst1_1_60763,11894,YCR084C,YALI0A14542g,1.382,1.437,1.588
Lst|G1IA6-19344-MONOMER,Lipst1_1_265576,,,YALI0B02882g,,,0.308
Lst|G1IA6-18233-MONOMER,Lipst1_1_238505,12507,YHR088W,YALI0F21483g,0.353,1.208,1.237
Lst|G1IA6-23331-MONOMER,Lipst1_1_180820,13214,,YALI0D00737g,0.911,,1.001
Lst|G1IA6-18945-MONOMER,Lipst1_1_336589,10515,YOR278W,YALI0F09449g,0.231,0.408,0.309
Lst|G1IA6-19672-MONOMER,Lipst1_1_63114,12449,,YALI0C09185g,0.258,,0.897
Lst|G1IA6-18738-MONOMER,Lipst1_1_2334,,,YALI0F05742g,,,0.113
Lst|G1IA6-21663-MONOMER,Lipst1_1_4980,11681,YOR136W,YALI0D06303g,1.846,1.69,1.588
Lst|G1IA6-17939-MONOMER,Lipst1_1_990,15341,YPL001W,YALI0C11231g,0.617,0.672,0.61
Lst|G1IA6-16503-MONOMER,Lipst1_1_127177,16394,YOR346W,YALI0F09141g,1.207,1.035,0.897
Lst|G1IA6-18704-MONOMER,Lipst1_1_2186,14103,YMR288W,YALI0B20724g,1.944,1.801,1.588
Lst|G1IA6-17475-MONOMER,Lipst1_1_215868,14800,YDR435C,YALI0D12881g,0.422,0.184,0.663
Lst|G1IA6-21115-MONOMER,Lipst1_1_35016,15157,,YALI0F02871g,0.356,,0.382
Lst|G1IA6-19446-MONOMER,Lipst1_1_2767,12965,YEL058W,YALI0E29579g,1.944,1.569,1.588
Lst|G1IA6-17140-MONOMER,Lipst1_1_67799,8974,YCR051W,YALI0F10747g,0.282,0.311,0.367
Lst|G1IA6-22724-MONOMER,Lipst1_1_29951,,YBR040W,YALI0A14069g,,0.147,0.142
Lst|G1IA6-20903-MONOMER,Lipst1_1_72342,9331,YOR100C,YALI0C02431g,1.209,0.972,1.208
Lst|G1IA6-19762-MONOMER,Lipst1_1_70723,16213,YPL214C,YALI0C15554g,0.976,1.04,1.25
Lst|G1IA6-20427-MONOMER,Lipst1_1_95184,,,YALI0D02453g,,,0.284
Lst|G1IA6-18361-MONOMER,Lipst1_1_61690,15395,YKR059W,YALI0B20922g,1.944,1.801,1.588
Lst|G1IA6-21918-MONOMER,Lipst1_1_146540,,YPR194C,YALI0A03949g,,1.801,1.588
Lst|G1IA6-20730-MONOMER,Lipst1_1_42817,12900,YER142C,YALI0B14080g,0.399,0.238,0.331
Lst|G1IA6-19552-MONOMER,Lipst1_1_3131,,YDR277C,YALI0B04796g,,0.326,0.245
Lst|G1IA6-20136-MONOMER,Lipst1_1_3497,12729,YEL012W,YALI0E12081g,1.019,0.766,0.887
Lst|G1IA6-16723-MONOMER,Lipst1_1_37927,10229,YAL046C,YALI0F16071g,0.231,0.242,0.285
Lst|G1IA6-20218-MONOMER,Lipst1_1_53133,12429,,YALI0C18183g,1.041,,1.588
Lst|G1IA6-18697-MONOMER,Lipst1_1_2164,10073,YPR016C,YALI0E27940g,1.461,1.523,1.198
Lst|G1IA6-17368-MONOMER,Lipst1_1_1344,13443,YJR010W,YALI0B08184g,1.944,1.801,1.588
Lst|G1IA6-21218-MONOMER,Lipst1_1_45435,,YJL110C,YALI0C22682g,,0.265,0.246
Lst|G1IA6-22887-MONOMER,Lipst1_1_74591,12562,,YALI0D01309g,0.267,,0.336
Lst|G1IA6-22095-MONOMER,Lipst1_1_5369,10362,YPL226W,YALI0B04334g,1.944,1.801,1.588
Lst|G1IA6-19003-MONOMER,Lipst1_1_51274,15245,,,1.026,,
Lst|G1IA6-23521-MONOMER,Lipst1_1_75438,13557,YGR218W,YALI0F10098g,1.944,1.801,1.588
Lst|G1IA6-20571-MONOMER,Lipst1_1_308475,14966,YMR203W,YALI0F31207g,0.362,0.474,0.509
Lst|G1IA6-16612-MONOMER,Lipst1_1_143896,9372,YPR119W,YALI0B15180g,1.221,1.109,1.072
Lst|G1IA6-20673-MONOMER,Lipst1_1_4018,,YML100W,YALI0E31086g,,1.568,1.559
Lst|G1IA6-19022-MONOMER,Lipst1_1_62297,14681,YDR457W,YALI0B05940g,1.944,1.801,1.588
Lst|G1IA6-20319-MONOMER,Lipst1_1_71422,9351,YIL069C,YALI0D13728g,0.466,0.537,0.416
Lst|G1IA6-18180-MONOMER,Lipst1_1_228950,8568,YKL059C,YALI0A09834g,0.768,0.69,0.661
Lst|G1IA6-22715-MONOMER,Lipst1_1_172223,,YCL008C,YALI0F19272g,,0.124,0.43
Lst|G1IA6-19704-MONOMER,Lipst1_1_70480,16658,YDL102W,YALI0A08426g,1.944,1.801,1.588
Lst|G1IA6-21664-MONOMER,Lipst1_1_4983,15131,YOR014W,YALI0E00154g,1.944,1.801,1.588
Lst|G1IA6-23804-MONOMER,Lipst1_1_75763,,YLR183C,,,0.254,
Lst|G1IA6-23296-MONOMER,Lipst1_1_107450,8634,,,0.223,,
Lst|G1IA6-21773-MONOMER,Lipst1_1_73280,16695,YBR159W,YALI0A06787g,1.021,1.201,1.071
Lst|G1IA6-18293-MONOMER,Lipst1_1_31470,,YGL045W,YALI0D19162g,,0.368,0.644
Lst|G1IA6-20073-MONOMER,Lipst1_1_3295,16556,,YALI0C20053g,1.944,,1.588
Lst|G1IA6-17362-MONOMER,Lipst1_1_1313,,,YALI0F30011g,,,0.127
Lst|G1IA6-23107-MONOMER,Lipst1_1_57889,8649,,YALI0C13926g,0.818,,0.944
Lst|G1IA6-20292-MONOMER,Lipst1_1_71305,13053,YLR393W,YALI0F19756g,0.423,0.269,0.435
Lst|G1IA6-16522-MONOMER,Lipst1_1_129802,11597,,,0.673,,
Lst|G1IA6-22551-MONOMER,Lipst1_1_74194,10351,YNL259C,YALI0B18298g,0.248,0.208,0.173
Lst|G1IA6-22434-MONOMER,Lipst1_1_5509,,,YALI0C04301g,,,0.309
Lst|G1IA6-18965-MONOMER,Lipst1_1_50414,,,YALI0F23507g,,,0.393
Lst|G1IA6-17884-MONOMER,Lipst1_1_893,14729,YMR216C,YALI0A18590g,1.585,1.697,1.588
Lst|G1IA6-17089-MONOMER,Lipst1_1_67622,8401,YOR035C,YALI0E21758g,0.241,0.282,0.724
Lst|G1IA6-21724-MONOMER,Lipst1_1_73112,9137,,,1.944,,
Lst|G1IA6-17102-MONOMER,Lipst1_1_67684,10376,YNL162W,YALI0B04224g,0.577,0.55,0.508
Lst|G1IA6-21225-MONOMER,Lipst1_1_4562,9733,YDL029W,YALI0F15389g,1.944,1.801,1.588
Lst|G1IA6-24326-MONOMER,Lipst1_1_7296,12640,YMR293C,YALI0F23441g,1.165,1.23,1.272
Lst|G1IA6-16643-MONOMER,Lipst1_1_173,,YKL175W,YALI0A00979g,,0.378,0.595
Lst|G1IA6-23466-MONOMER,Lipst1_1_6557,11867,YER014W,YALI0D23331g,0.653,0.344,0.453
Lst|G1IA6-19110-MONOMER,Lipst1_1_69805,12253,YDR183W,YALI0A00781g,0.434,0.298,0.467
Lst|G1IA6-21804-MONOMER,Lipst1_1_73393,10760,YKL007W,YALI0E05291g,0.38,0.586,0.645
Lst|G1IA6-17988-MONOMER,Lipst1_1_103247,14987,,YALI0A04367g,0.403,,0.756
Lst|G1IA6-22675-MONOMER,Lipst1_1_165367,,YCL045C,YALI0E14575g,,0.628,0.578
Lst|G1IA6-22243-MONOMER,Lipst1_1_74001,,YDR063W,YALI0E33693g,,0.202,0.213
Lst|G1IA6-22988-MONOMER,Lipst1_1_99091,14585,,YALI0E21472g,0.301,,0.453
Lst|G1IA6-16548-MONOMER,Lipst1_1_133788,12616,YLL006W,YALI0D00935g,0.173,0.33,0.321
Lst|G1IA6-22483-MONOMER,Lipst1_1_5675,9574,YML075C,YALI0E04807g,1.944,1.801,1.588
Lst|G1IA6-22464-MONOMER,Lipst1_1_5622,,YKL133C,YALI0E16621g,,0.215,0.188
Lst|G1IA6-20498-MONOMER,Lipst1_1_293020,10233,YGR253C,YALI0E02794g,1.356,1.319,1.263
Lst|G1IA6-17050-MONOMER,Lipst1_1_67480,10040,YFL018C,YALI0D20768g,1.944,1.801,1.588
Lst|G1IA6-18253-MONOMER,Lipst1_1_240467,12684,YKL210W,YALI0E06017g,1.944,1.801,1.588
Lst|G1IA6-19321-MONOMER,Lipst1_1_262873,8890,YLR419W,YALI0C02365g,1.944,1.801,1.588
Lst|G1IA6-23138-MONOMER,Lipst1_1_6157,,,YALI0D20174g,,,0.872
Lst|G1IA6-19590-MONOMER,Lipst1_1_336956,9831,YPL209C,YALI0E34375g,1.276,1.139,1.099
Lst|G1IA6-18766-MONOMER,Lipst1_1_2428,10239,YCR072C,YALI0A06479g,1.432,1.801,1.588
Lst|G1IA6-20636-MONOMER,Lipst1_1_3875,11397,YOR316C,YALI0F00176g,0.899,1.223,1.109
Lst|G1IA6-23430-MONOMER,Lipst1_1_6440,12532,YPL270W,YALI0E00880g,1.786,1.801,1.588
Lst|G1IA6-22632-MONOMER,Lipst1_1_98557,12491,YPL264C,YALI0F04081g,0.418,0.725,0.589
Lst|G1IA6-22550-MONOMER,Lipst1_1_74190,,,YALI0F26917g,,,0.208
Lst|G1IA6-19130-MONOMER,Lipst1_1_69891,14179,YDR047W,YALI0C01716g,1.242,1.801,1.438
Lst|G1IA6-17090-MONOMER,Lipst1_1_67624,,,YALI0D22286g,,,1.368
Lst|G1IA6-16649-MONOMER,Lipst1_1_196,,,YALI0F22759g,,,0.093
Lst|G1IA6-20505-MONOMER,Lipst1_1_294677,9887,YMR281W,YALI0E21934g,0.358,0.239,0.435
Lst|G1IA6-17587-MONOMER,Lipst1_1_48280,9253,YKL010C,YALI0E05401g,1.944,1.615,1.588
Lst|G1IA6-21561-MONOMER,Lipst1_1_36529,13856,,YALI0F23067g,1.084,,1.304
Lst|G1IA6-17802-MONOMER,Lipst1_1_68609,11741,YPR167C,YALI0B08140g,0.951,1.063,1.006
Lst|G1IA6-16783-MONOMER,Lipst1_1_47020,15460,YOR182C,YALI0F14663g,0.168,0.219,0.193
Lst|G1IA6-16597-MONOMER,Lipst1_1_141499,16141,,YALI0C05555g,0.824,,0.436
Lst|G1IA6-22962-MONOMER,Lipst1_1_74900,8618,YLL057C,YALI0F22825g,1.203,1.287,1.361
Lst|G1IA6-18475-MONOMER,Lipst1_1_69128,12386,YJL008C,YALI0D11220g,1.944,1.801,1.588
Lst|G1IA6-20720-MONOMER,Lipst1_1_41765,12287,YKR071C,YALI0C06215g,0.156,0.238,0.355
Lst|G1IA6-22416-MONOMER,Lipst1_1_5440,14144,,,0.77,,
Lst|G1IA6-16707-MONOMER,Lipst1_1_33829,11723,YPL206C,YALI0F08217g,0.381,0.2,0.399
Lst|G1IA6-21112-MONOMER,Lipst1_1_338321,11646,YCL030C,YALI0A15950g,1.944,1.801,1.588
Lst|G1IA6-17101-MONOMER,Lipst1_1_67682,,YGR229C,YALI0B20570g,,0.457,0.705
Lst|G1IA6-22684-MONOMER,Lipst1_1_167055,,YPL173W,YALI0A20526g,,0.324,0.231
Lst|G1IA6-20677-MONOMER,Lipst1_1_4023,13806,YPR089W,YALI0C07843g,1.295,0.35,1.547
Lst|G1IA6-19681-MONOMER,Lipst1_1_70370,15791,YLR044C,YALI0D10131g,1.212,1.455,1.13
Lst|G1IA6-17030-MONOMER,Lipst1_1_67405,16555,YBL040C,YALI0D06545g,1.023,0.693,0.64
Lst|G1IA6-20767-MONOMER,Lipst1_1_63951,12693,YPR080W,YALI0C09141g,1.944,1.801,1.588
Lst|G1IA6-19230-MONOMER,Lipst1_1_70334,12106,YBR082C,YALI0D15312g,1.043,0.963,0.869
Lst|G1IA6-20211-MONOMER,Lipst1_1_52874,13290,YJL141C,YALI0C16665g,1.944,1.801,1.588
Lst|G1IA6-20766-MONOMER,Lipst1_1_63950,15863,YPR079W,YALI0C09163g,0.195,0.21,0.287
Lst|G1IA6-22178-MONOMER,Lipst1_1_73734,13491,YML074C,YALI0E27808g,0.516,0.854,0.779
Lst|G1IA6-21300-MONOMER,Lipst1_1_64149,11546,YJR116W,YALI0B01804g,0.31,0.324,0.553
Lst|G1IA6-21932-MONOMER,Lipst1_1_148432,16700,YKR044W,YALI0D01606g,0.775,0.157,0.388
Lst|G1IA6-16788-MONOMER,Lipst1_1_47075,,YKL114C,YALI0C12144g,,1.146,1.032
Lst|G1IA6-18434-MONOMER,Lipst1_1_68983,8659,YJL140W,YALI0C12793g,0.1,0.367,0.451
Lst|G1IA6-19104-MONOMER,Lipst1_1_69781,8410,YIL142W,YALI0F11473g,1.944,1.801,1.588
Lst|G1IA6-16770-MONOMER,Lipst1_1_46836,16606,YOR280C,YALI0D16940g,0.263,0.456,0.649
Lst|G1IA6-20062-MONOMER,Lipst1_1_3265,,,YALI0F10483g,,,0.163
Lst|G1IA6-21459-MONOMER,Lipst1_1_112377,14022,YER065C,YALI0C16885g,1.944,1.801,1.588
Lst|G1IA6-22979-MONOMER,Lipst1_1_86806,14867,YOR103C,YALI0E08646g,0.444,0.248,0.38
Lst|G1IA6-19044-MONOMER,Lipst1_1_62668,13219,YGL086W,YALI0E29623g,0.49,0.271,0.919
Lst|G1IA6-18584-MONOMER,Lipst1_1_80202,8670,YKL182W,YALI0B15059g,1.944,1.801,1.588
Lst|G1IA6-23226-MONOMER,Lipst1_1_75007,11147,YJR156C,,1.134,1.706,
Lst|G1IA6-17782-MONOMER,Lipst1_1_68507,10084,YDL060W,YALI0B08756g,1.518,1.801,1.531
Lst|G1IA6-21951-MONOMER,Lipst1_1_151019,,,YALI0D12815g,,,0.074
Lst|G1IA6-22652-MONOMER,Lipst1_1_107116,,,YALI0D18502g,,,0.112
Lst|G1IA6-20908-MONOMER,Lipst1_1_72360,9050,YDL238C,YALI0E25740g,1.022,1.442,1.443
Lst|G1IA6-21777-MONOMER,Lipst1_1_73292,13065,YDR434W,YALI0D12749g,0.139,0.097,0.132
Lst|G1IA6-18302-MONOMER,Lipst1_1_336196,16240,YOL068C,YALI0F11583g,0.791,1.007,0.729
Lst|G1IA6-20004-MONOMER,Lipst1_1_288266,15490,YLR196W,YALI0E01100g,1.377,1.143,1.137
Lst|G1IA6-22226-MONOMER,Lipst1_1_73932,8970,YER005W,YALI0C19712g,1.285,1.191,1.033
Lst|G1IA6-17984-MONOMER,Lipst1_1_103185,11051,YNL321W,YALI0D24233g,1.944,1.801,1.588
Lst|G1IA6-23757-MONOMER,Lipst1_1_6803,15098,YKL150W,YALI0D11330g,0.561,0.701,0.73
Lst|G1IA6-24184-MONOMER,Lipst1_1_76301,16585,YPL058C,YALI0B12980g,1.944,1.801,1.588
Lst|G1IA6-22893-MONOMER,Lipst1_1_74608,8835,YGL001C,YALI0C22165g,0.81,1.308,0.944
Lst|G1IA6-22636-MONOMER,Lipst1_1_106916,12855,YPL268W,YALI0C04180g,1.127,1.508,1.588
Lst|G1IA6-22320-MONOMER,Lipst1_1_156565,13987,YPR192W,YALI0F01210g,0.937,0.741,0.9
Lst|G1IA6-20963-MONOMER,Lipst1_1_105640,8916,YHR002W,YALI0F15433g,0.958,1.246,1.07
Lst|G1IA6-21616-MONOMER,Lipst1_1_4800,10127,YMR026C,YALI0D26642g,0.367,0.346,0.744
Lst|G1IA6-20352-MONOMER,Lipst1_1_71571,14667,YLR022C,YALI0F25267g,0.892,0.793,0.826
Lst|G1IA6-16954-MONOMER,Lipst1_1_67093,,YGL016W,YALI0E29909g,,0.076,0.484
Lst|G1IA6-23817-MONOMER,Lipst1_1_75836,,,YALI0E26785g,,,0.804
Lst|G1IA6-18981-MONOMER,Lipst1_1_50852,10156,YOR311C,YALI0F19052g,0.362,0.663,0.596
Lst|G1IA6-22280-MONOMER,Lipst1_1_106780,15464,,,0.977,,
Lst|G1IA6-19460-MONOMER,Lipst1_1_2782,,YDL112W,YALI0D10989g,,0.734,0.917
Lst|G1IA6-19624-MONOMER,Lipst1_1_52056,12851,YCL036W,YALI0B14179g,0.14,0.247,0.132
Lst|G1IA6-18121-MONOMER,Lipst1_1_1915,,,YALI0B19118g,,,0.147
Lst|G1IA6-16455-MONOMER,Lipst1_1_115051,9124,,YALI0F04972g,0.106,,0.255
Lst|G1IA6-22989-MONOMER,Lipst1_1_99131,12265,,,0.114,,
Lst|G1IA6-22634-MONOMER,Lipst1_1_106903,,,YALI0C19965g,,,0.235
Lst|G1IA6-18100-MONOMER,Lipst1_1_1823,13205,YAR018C,YALI0E34067g,0.803,0.938,1.209
Lst|G1IA6-16632-MONOMER,Lipst1_1_150,,YNL183C,YALI0B00880g,,1.254,1.377
Lst|G1IA6-21623-MONOMER,Lipst1_1_4824,11248,,,0.614,,
Lst|G1IA6-17902-MONOMER,Lipst1_1_91236,9039,YNL219C,YALI0E28941g,1.106,0.91,1.059
Lst|G1IA6-19592-MONOMER,Lipst1_1_337169,,YPR194C,YALI0A03949g,,1.801,1.588
Lst|G1IA6-22116-MONOMER,Lipst1_1_56348,,YNR060W,YALI0B10846g,,0.815,0.9
Lst|G1IA6-17142-MONOMER,Lipst1_1_67800,,YOL125W,YALI0E27137g,,0.578,0.717
Lst|G1IA6-23694-MONOMER,Lipst1_1_58924,14113,YGL150C,YALI0E09012g,1.944,1.801,1.588
Lst|G1IA6-23141-MONOMER,Lipst1_1_6169,,YPL190C,YALI0F23683g,,0.187,0.43
Lst|G1IA6-20325-MONOMER,Lipst1_1_71452,9086,,YALI0E13035g,0.948,,1.372
Lst|G1IA6-23179-MONOMER,Lipst1_1_6286,15153,YGR216C,YALI0E10021g,0.64,0.713,1.06
Lst|G1IA6-23854-MONOMER,Lipst1_1_108028,11815,,,0.522,,
Lst|G1IA6-17131-MONOMER,Lipst1_1_67781,8876,YOR257W,YALI0A20518g,0.341,0.373,0.37
Lst|G1IA6-17871-MONOMER,Lipst1_1_843,,,YALI0E10351g,,,0.204
Lst|G1IA6-18934-MONOMER,Lipst1_1_31636,13488,YKR048C,YALI0B14487g,1.158,0.964,0.951
Lst|G1IA6-21448-MONOMER,Lipst1_1_106087,13009,YJL012C,YALI0C10945g,1.944,1.801,1.588
Lst|G1IA6-22650-MONOMER,Lipst1_1_107094,16534,,YALI0D02343g,0.429,,1.048
Lst|G1IA6-18058-MONOMER,Lipst1_1_1663,10603,YFR010W,YALI0D02871g,1.583,1.04,1.555
Lst|G1IA6-21151-MONOMER,Lipst1_1_4281,11025,YPL234C,YALI0E31471g,0.711,0.815,0.744
Lst|G1IA6-18875-MONOMER,Lipst1_1_255730,,YNL243W,YALI0C07502g,,1.801,1.588
Lst|G1IA6-23431-MONOMER,Lipst1_1_6441,8464,YGR167W,YALI0E33253g,0.307,0.134,0.323
Lst|G1IA6-21077-MONOMER,Lipst1_1_319275,9272,YHL002W,YALI0F06446g,0.748,0.861,1.083
Lst|G1IA6-17637-MONOMER,Lipst1_1_61256,15894,YMR297W,YALI0A18810g,1.25,1.801,1.588
Lst|G1IA6-20027-MONOMER,Lipst1_1_291194,16585,YPL058C,YALI0B12980g,1.944,1.801,1.588
Lst|G1IA6-20421-MONOMER,Lipst1_1_94645,12358,YIL103W,YALI0F22055g,1.176,1.55,1.425
Lst|G1IA6-18307-MONOMER,Lipst1_1_33982,13963,YGR159C,YALI0F13475g,0.613,0.806,0.611
Lst|G1IA6-18835-MONOMER,Lipst1_1_251606,8641,YBR279W,YALI0E22022g,0.189,0.277,0.578
Lst|G1IA6-17258-MONOMER,Lipst1_1_102591,13824,YNR002C,YALI0C23617g,0.494,0.855,0.65
Lst|G1IA6-21629-MONOMER,Lipst1_1_4846,8816,YER110C,YALI0E12243g,1.809,1.801,1.588
Lst|G1IA6-19655-MONOMER,Lipst1_1_62883,11489,,,0.203,,
Lst|G1IA6-18467-MONOMER,Lipst1_1_69098,15122,YNL317W,YALI0A17424g,1.45,1.17,1.14
Lst|G1IA6-16482-MONOMER,Lipst1_1_123311,11381,YKL212W,YALI0D05995g,1.674,1.801,1.588
Lst|G1IA6-21161-MONOMER,Lipst1_1_4314,,YGL050W,YALI0D22220g,,0.368,0.274
Lst|G1IA6-20172-MONOMER,Lipst1_1_3625,9137,YBR298C,YALI0A14212g,1.944,1.524,1.03
Lst|G1IA6-19988-MONOMER,Lipst1_1_285912,10025,YCR008W,YALI0C00891g,0.959,1.694,1.588
Lst|G1IA6-17535-MONOMER,Lipst1_1_25256,11777,,YALI0A11473g,1.944,,1.588
Lst|G1IA6-17323-MONOMER,Lipst1_1_115799,15405,,,0.36,,
Lst|G1IA6-21073-MONOMER,Lipst1_1_318372,,YPL246C,YALI0B20878g,,0.283,0.29
Lst|G1IA6-22592-MONOMER,Lipst1_1_74370,10403,YMR049C,YALI0E26389g,1.944,1.801,1.588
Lst|G1IA6-17493-MONOMER,Lipst1_1_218735,,,YALI0F25993g,,,1.243
Lst|G1IA6-21329-MONOMER,Lipst1_1_72557,12731,YNR058W,YALI0E21549g,1.944,0.263,1.588
Lst|G1IA6-19225-MONOMER,Lipst1_1_70324,,,YALI0E00748g,,,0.553
Lst|G1IA6-19245-MONOMER,Lipst1_1_81234,10362,YPL226W,YALI0B04334g,1.944,1.801,1.588
Lst|G1IA6-19696-MONOMER,Lipst1_1_70443,,YOL009C,YALI0A02585g,,0.32,0.476
Lst|G1IA6-23689-MONOMER,Lipst1_1_45839,15999,,YALI0D07876g,0.415,,0.442
Lst|G1IA6-19821-MONOMER,Lipst1_1_70973,12898,YDR019C,YALI0F02849g,0.982,1.092,1.126
Lst|G1IA6-22631-MONOMER,Lipst1_1_98371,9042,YDL188C,YALI0A00891g,1.944,1.801,1.588
Lst|G1IA6-21133-MONOMER,Lipst1_1_4221,,YPR194C,YALI0A03949g,,1.801,1.588
Lst|G1IA6-18116-MONOMER,Lipst1_1_1895,,YKL140W,YALI0E32035g,,1.234,1.36
Lst|G1IA6-16511-MONOMER,Lipst1_1_128415,8525,,YALI0F16643g,0.292,,0.215
Lst|G1IA6-17536-MONOMER,Lipst1_1_25267,9940,YDR377W,YALI0D11814g,0.321,0.372,0.268
Lst|G1IA6-17297-MONOMER,Lipst1_1_1105,14742,YHR001W,YALI0A02354g,1.271,1.653,1.588
